section,code,question,answer_format,answer_file,other,condition,mandatory,random,public,order_question,source,comment,lang_trans1,lang_trans2,lang_trans3
4,train3,"What training programs are you involved with (comma separated list)  (For example, Software Carpentry, local university training, etc.) ",FREETEXT,,,if YES to train1,Y,,,,,,,,
4,fund1,"Do you know the source of the funding used to support you and your current, largest project? ",Y/N/NA,,,,Y,,,,,,,,
4,fund2,Which of the following sources are used to pay for your effort as an RSE/equivalent? ,MULTIPLE CHOICES,funding,Y,'YES’ in fund1,Y,,,,,,,,
4,fund3,"Which of the following sources are used to fund your current, largest project? ",MULTIPLE CHOICES,funding,Y,'YES’ in fund1,Y,,,,,,,,
4,fund4,"Which of the following sources were used to fund your current, largest project three years ago? ",MULTIPLE CHOICES,funding,Y,'YES’ in fund1,Y,,,,,,,,
5,perfCheck1,Do you receive sufficient information on the results of your work?,LIKERT,likert_time_5,,,Y,,,,,,,,
5,perfCheck2,Does your work give you the opportunity to check on how well you are doing your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck3,"In your work, do you have access to sufficient data and information?",LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck4,Do you receive sufficient information on the purpose of your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck5,Does your work provide you with direct feedback on how well you are doing your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck6,Does your supervisor/line manager inform you about how well you are doing your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck7,Do your colleagues inform you about how well you are doing your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,turnOver1,How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,turnOver2,How often do you look forward to another day at work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,turnOver3,How often do you consider leaving your job?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,turnOver4,How often do dream about getting another job that will better suit your needs?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,turnOver5,My current job satisfies my personal needs,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,turnOver6,I would accept another job at the same compensation level if I was offered it,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,affRec1,I am satisfied with my supervisor/line manager's confidence in me,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,affRec2,I am satisfied with a word of thanks from my supervisor/line manager,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,affRec3,I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,affRec4,I am satisfied with the compliments from my supervisor/line manager concerning my work,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,affRec5,I am satisfied with the encouragement from my supervisor/line manager while doing my job,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,percEmp1,It would not be very difficult for me to get an equivalent job in a different organisation,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,percEmp2,I can think of a number of organisations that would probably offer me a job,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,percEmp3,My experience is in demand on the labour market,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,percEmp4,"Given my qualifications and experience, getting a new job would not be very hard at all",LIKERT,likert_agree,,,Y,Y,,,,,,,
5,progRSE1,It is likely that I will gain a promotion within my current group ,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,progRSE2,The process I have to complete to gain a promotion is clear and understandable,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,progRSE3,There are many opportunities within my chosen career plan,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,progRSE4,My current position is an integral part of my career plan,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,progRSE5,It is likely that my next position will be an RSE role,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,affSat1,I find real enjoyment in my job,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,affSat2,Most days I am enthusiastic about my job,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,affSat3,I feel fairly well satisfied with my job,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,affSat4,I like my job better than the average person,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,satisGen1,"In general, how satisfied are you with your current position",LIKERT,likert_satisfied_10,,,Y,,,,,,,,
5,satisGen2,"In general, how satisfied are you with your career",LIKERT,likert_satisfied_10,,,Y,,,,,,,,
6,socio2,Please select your gender,ONE CHOICE,gender,Y,,Y,,N,FALSE,https://www.gov.uk/service-manual/user-centred-design/resources/patterns/gender-and-sex.html,,,,
6,socio3,Please select your age,ONE CHOICE,age,Y,,Y,,N,TRUE,,,,,
6,socio5,"How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. ",ONE CHOICE,ethnicity,Y,,,,N,FALSE,https://www.academia.edu/1112558/Comparative_study_on_the_collection_of_data_to_measure_the_extent_and_impact_of_discrimination_within_the_United_States_Canada_Australia_the_United_Kingdom_and_the_Netherlands,https://www.ons.gov.uk/ons/guide-method/...set-of...questions/ethnic-group.pdf,,,
6,disa1,Do you have a condition that is defined as a disability by the White Paper on the Rights of Persons with Disabilities (2015),Y/N/NA,,,,,,N,,,,,,
6,socio4,Please select the range of your annual salary,ONE CHOICE,salary,,,Y,,N,TRUE,,,,,
7,tool2,What Operating System do you prefer to use at work? ,ONE CHOICE,os,,,Y,,,FALSE,,,,,
7,tool4can, What programming languages do you use at work? (Select as many as apply) ,MULTIPLE CHOICES,programing_language,Y,,Y,,,,,,,,
7,ukrse1,Are you a member of the UK RSE Association? (Members are people who have signed up to the UK RSE mailing list),Y/N/NA,,,,Y,,,,,,,,
7,org1can,Would you be interested in joining such an organisation if one was formed in South Africa?,Y/N/NA,,,,Y,,,,,,,,
7,org2can,What would you hope to get out of such an organisation (check all that apply)?,MULTIPLE CHOICES,rse_benefits,Y,if yes to org1can,Y,,,,,,,,
7,ukrse2,How do you meet other RSEs? ,MULTIPLE CHOICES,ukrse,Y,,Y,,,,,,,,
7,skill2,What three skills would you like to acquire or improve to help your work as a Research Software Engineer? The skills can be technical and non-technical.,FREETEXT,,,,Y,,,,,,,,
7,ukrse3,How did you learn the skills you need to become an RSE? ,FREETEXT,,,,,,,,,,,,
