,socio1. In which country do you work?,rse1. Do you write software for research as part of your job?,edu1. What is the highest level of education you have attained?,edu2. In which discipline is your highest academic qualification?,"time1can. On average, how much of your time is spent developing software?","time2can. On average, how much of your time is spent on research?","time2acan. On average, how much of the time you spend developing software is spent on new development/enhancement?","time2bcan. On average, how much of the time you spend developing software is devoted to maintenance and support activities?","time3can. On average, how much time do you spend on management?","time5can. On average, how much time do you spend on other activities?",soft1can. How many years of software development experience do you have?,soft2can. Do you consider yourself a professional software developer?,proj1_can. How many software projects are you currently involved in?,proj2_can. How many software developers typically work on your projects?,proj5_can. Do your research software projects typically include a project manager?,proj6_can. What development methodology does your current project use?,canarie1_can. Have you ever visited the Research Software Registry at science.canarie.ca?,canarie2_can. How many software components from science.canarie.ca have you integrated into your projects?,currentEmp1. What type of organization do you work for?,currentEmp5. What is your current job title?,currentEmp7. In which application area do you primarily work?,currentEmp10. What is the nature of your current employment?,group1_can. Do you work within a group that provides software development help or expertise to researchers from across your organization?,group1a_can. Is there such a group within your organization?,group2_can. Do you think such a group would have value?,group3_can. Would you be interested in participating in such a group?,paper1. Have you contributed software to research that has been published in a journal or presented at a conference?,"paper2. In general, when your software contributes to a paper, are you acknowledged in that paper?",paper3. Are you generally named as the main author of the paper?,paper4. Are you generally named as a co-author of the paper?,conf2_can. Which conference(s)/workshop(s)?,"open1_can. When you release code, how often do you use an open source license?",open3_can. List any open repositories (eg. GitHub) to which your software projects have been published.,"open3_can. When you release code or data, how often do you assign a Digital Object Identifier (DOI) to it?","skill1. In your opinion, what are the three most important skills that a Research Software Developer must possess? These skills can be technical and non-technical.",skill2. What three skills would you like to acquire or improve to help your work as a Research Software Developer? These skills can be technical and non-technical.,tool1. What are the three tools or services you use most often in your software work?,tool2. What is your Operating System of choice for development?,tool3_can. What is your Operating System of choice for deployment?,"tool4_can. What programming languages do you use in developing research software? Please list in order, beginning with most frequently used.",data1_can. Do any of your current projects make use of a data management or data archiving component?,data2_can. Is it part of your software or an external system? (please specify),open4_can. Do any of your current projects accommodate the open/public sharing of data?,open5_can. Is the creation of a Digital Object Identifier (DOI) and metadata for individual assets supported?,org1_can. Would you be interested in joining such an organization if one was formed in Canada?,instit1_can. Have you developed software that is accessed from multiple institutions?,caf1_can. Do any of your current or previous projects make use of the Canadian Access Federation (CAF) Federated Identity Management (FIM) service?
10,Canada,No,Masters Degree,Other,1 (None at all),4,1 (None at all),1 (None at all),10 (All my time),5,0.0,No,0.0,2,Yes,Other,Yes,0.0,Non-profit,commercialization manager,Information technology,Full-time,Yes,,,,Yes,No,No,No,IRMACS - http://www.irmac.ca/events/list.php?event_id=108,,Github,,"Logic/Reasoning, Time Management and Documentation","Code-release, documentation, software release","Slack, Outlook and Powerpoint",Mac OS,Mac OS,"Java, C, C++",Yes,Software,Yes,Yes,Yes,Yes,I'm not familiar with CAF
11,Canada,Yes,Doctorate,Applied mathematics,8,8,8,2,2,3,56.0,Yes,8.0,6-9,Yes,Other,Yes,0.0,University,Distinguished Professor Emeritus,Information technology,Other,Yes,,,,Yes,Yes,Yes,Yes,During my career I have been author or co-author of over 280 refereed publications and 17 books. My work has been presented at over 180 different conferences. The list is too long to present here.,Sometimes,GitHub,Never,"Design
Project and people management
Coding","Statistics applied to Big Data
Better understanding of various types of database structures (Graph ...)","PHP
JavaScript
SQL databases",Windows,Other,"JavaScript
Java
Objective C",Yes,Software,Yes,No,Yes,Yes,I'm not familiar with CAF
12,Canada,No,Masters Degree,Earth science,2,9,9,2,5,5,1.0,No,1.0,3-5,Yes,No formal methodology,Yes,0.0,University,Project Manager,Geoghraphical information,Full-time,Yes,,,,No,Yes,Yes,Yes,AAG,Never,,Never,"Time management
Interpersonal skills (user engagement and for meetings)
Programming","Programming
Technical communication
Market knowledge","Asana
Google Scholar
QGIS",Windows,Windows,Python,Yes,External System,Yes,No,No,Yes,Yes
13,Canada,Yes,Masters Degree,Electrical and electronic engineering,5,5,10 (All my time),1 (None at all),1 (None at all),1 (None at all),5.0,Yes,2.0,3-5,No,No formal methodology,Yes,0.0,University,Software Developer,Health Sciences,Full-time,Yes,,,,Yes,Yes,No,No,,Very Often,"GitHub
Bitbucket",Never,"Discipline
Flexibility
Mastery of code","Discipline
Mastery of code
Focus","GitHub
Travis
Slack",GNU/Linux,GNU/Linux,"Ruby
Python
C++",Yes,Software,Yes,,Yes,Yes,I'm not familiar with CAF
14,Canada,Yes,Masters Degree,Other,5,3,3,3,2,1 (None at all),15.0,Yes,4.0,3-5,No,No formal methodology,No,0.0,University,Senior data analyst,Other,Full-time,Yes,,,,Yes,Yes,No,No,GLBIO,Always,"Github
(sourceforge when it was still around but have migrated everything to github now)",Never,"adaptability
good communication and organizational skills
strong statistics skills",,"cytoscape
eclipse
R studio",Mac OS,Mac OS,"Java
R
perl
bash (shell scripting)",No,,No,,Yes,Yes,No
15,Canada,Yes,Bachelors Degree,Geoghraphical information,5,1 (None at all),9,2,5,2,21.0,Yes,1.0,3-5,Yes,Scrum,Yes,,University,Web Services specialist,Oceanography,Contract,Yes,,,,Yes,,,,In previous position at ESRI User's Conference & Developer's Summit and at company user's conference.,,,Never,"Communication
Knowledge of platform and data interoperability
Persistance","Improve my knowledge of the research our organization's scientists are involved in
Improve my knowledge of Agile development best practices
Improve my knowledge of IoT connectivity models","Python
SQL
JavaScript",Windows,GNU/Linux,"Python
SQL
JavaScript
MatLab",Yes,External System,Yes,,Yes,Yes,I'm not familiar with CAF
16,Canada,Yes,Doctorate,Other,4,5,5,5,4,1 (None at all),8.0,No,5.0,2,No,No formal methodology,No,0.0,University,Postdoc,Other,Full-time,Yes,,,,,,,,,,,,,,,,,,,,,,,,
17,Canada,Yes,Doctorate,Physical chemistry,3,6,10 (All my time),1 (None at all),5,2,10.0,No,6.0,3-5,No,No formal methodology,Yes,1.0,University,Associate Professor,Physical chemistry,Full-time,No,No,Yes,Yes,Yes,Yes,Yes,No,"A presentation I gave explicitly about a software development project I lead was presented at the High Performance Computing Symposium (HPCS) in Halifax NS, 2014.  I also present aspects of the algorithms that I (and my team) develop and integrate into software products at all of the conferences I attend, including recently the Canadian Chemistry Conference and Exhibition and Pacifichem.",Always,bitbucket,Sometimes,"1. Problem-solving (obviously)
2. Ability to interact with both administrators (PIs) and end users
3. Broad knowledge base of existing solutions for leveraging","I would like to:
1. Expand my knowledge of languages.
2. Expand my knowledge of established development protocols (i.e. scrum, waterfall, etc.)
3. Expand my knowledge of dealing with large datasets (memory handling, code optimization, parallel computing, etc.)","Visual code editor
Concurrent versioning system",Mac OS,Mac OS,"Python
Java
PHP
Fortran
C",Yes,Software,Yes,Yes,Yes,Yes,I'm not familiar with CAF
18,Canada,Yes,Doctorate,Other,10 (All my time),,2,8,1 (None at all),2,25.0,,4.0,,No,No formal methodology,No,,University,Senior Research Associate (Software Engineer),Other,Full-time,Yes,,,,Yes,Yes,No,Yes,"COMBINE and HARMONY workshops (BioPAX related), ISMB...",Always,"Github, Sourceforge, Google Code (obsolete), Bitbucket, OSSRH, Central Maven",,"fundamental interdisciplinary scientific background, Java and Javascript programming","supercomputing, no-sql, AI...","VIM, JetBrains IDEA, Google Chrome",GNU/Linux,GNU/Linux,"Java, Javascript, shell (bash)",Yes,Software,Yes,,,Yes,I'm not familiar with CAF
19,Canada,Yes,Bachelors Degree,Information technology,8,1 (None at all),8,2,2,2,34.0,Yes,2.0,3-5,Yes,Scrum,No,0.0,University,Senior Software Developer,Information technology,Full-time,Yes,,,,Yes,No,No,No,CANHEIT,Very Often,,Never,"- business / requirements analysis
- communication
- writing easy to read code",,"- github
- ansible
- jira",Mac OS,GNU/Linux,"- java
- python
- javascript",Yes,Software,Yes,Yes,Yes,Yes,Yes
20,Canada,No,Masters Degree,Biomedical engineering,1 (None at all),10 (All my time),1 (None at all),1 (None at all),10 (All my time),1 (None at all),8.0,Yes,,Just me,Yes,Waterfall,No,,University,,Information technology,Full-time,Yes,,,,,,,,,,,,,,,,,,,,,,,,
22,Canada,Yes,Doctorate,Information technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Canada,Yes,Masters Degree,Other,5,7,6,5,5,5,5.0,Yes,5.0,2,Yes,Waterfall,No,,Other,Programmers Team Lead,Health Sciences,Full-time,Yes,,,,Yes,Yes,Yes,No,"REDCap (Research Electronic Data Capture) International  conference in 2016  -  North Carolina, USA",Always,The code is published to community site of REDCap consortium for other sites to use .,Always,"Teaching yourself
Documentation & using best practices on code structure.
Time management is very important to the success of the project.",,"Jira
Jira stash
Git hub",Windows,Windows,"PHP, ASP.net , HTML, JS, JQuery, JS node",Yes,Software,No,,Yes,Yes,No
24,Canada,Yes,Masters Degree,Genetics,9,1 (None at all),9,9,1 (None at all),1 (None at all),2.0,Yes,2.0,Just me,Yes,No formal methodology,No,0.0,Government department,Programmer Analyst,Genetics,Full-time,Yes,,,,No,,,,,,,Never,Communication Skills; Project Management Skills; Knowledge in the field,,Git; Visual Studio Code. Database Management Tools,Mac OS,GNU/Linux,PHP; R; JavaScript;,Yes,Software,No,,Yes,No,I'm not familiar with CAF
25,Canada,Yes,Masters Degree,Other,5,2,1 (None at all),1 (None at all),2,2,3.0,Yes,2.0,2,Yes,Waterfall,No,0.0,University,web developer,Geophysics,Full-time,Yes,,,,No,No,No,No,,Sometimes,,Never,,,,GNU/Linux,GNU/Linux,,No,,No,,No,No,No
26,Canada,Yes,Bachelors Degree,Biomedical engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Canada,Yes,Masters Degree,Information technology,8,3,5,5,2,2,20.0,Yes,3.0,3-5,Yes,Scrum,No,,Government department,,Astronomy and astrophysics,Full-time,Yes,,,,Yes,Yes,No,Yes,,Always,,Never,Curiosity,,"IDE, git, shell",Mac OS,Mac OS,,Yes,Software,Yes,Yes,Yes,Yes,No
28,Canada,Yes,Bachelors Degree,Other,9,1 (None at all),5,5,2,3,15.0,Yes,2.0,3-5,No,Scrum,Yes,1.0,Government department,Software Developer,Astronomy and astrophysics,Other,Yes,,,,Yes,No,No,No,"It was years ago, as a student working for a professor who was working on a model to statistically sample coal composition.  (to predict usage based on that composition). He took me & the software to a conference to show it off. Since then, no.",Always,GitHub.,,"1) Communication skills
2) Rapid prototyping
3) Ability to converge on a solution","1) I'd like to know a broader range of open-source tools
2) Machine Learning understanding
3) User interview techniques (as a way to converge on a solution faster!)","Selenium (for automated test)
Docker 
Travis (Jenkins in past)",Other,GNU/Linux,"Java, Javascript, Python",Yes,Software,Yes,,Yes,Yes,No
29,Canada,Yes,Some University,Physics,7,6,5,6,4,3,10.0,Yes,13.0,6-9,Yes,No formal methodology,Yes,,University,,Physics,Full-time,No,Yes,,,No,Yes,No,No,,Sometimes,,Often,"Quick learner ,  got Background in Programming  , Analyze User Needs.",dont know,"programming tools like coding
performance testing tool
programmes languages",Windows,Android,"C , JAVASCRIPT , B",Yes,Software,Yes,Yes,No,Yes,No
30,Canada,Yes,Masters Degree,Electrical and electronic engineering,5,2,5,2,3,3,18.0,Yes,4.0,6-9,Yes,Kanban,Yes,6.0,Non-profit,Senior advisor,Earth science,Full-time,Yes,,,,Yes,No,No,Yes,"CANARIE Workshop
ESGF Conference
AGU
CRV
Geomatique 2016
HPCS 2015",Very Often,"Ouranos_Inc
CRIM_ca
Birdhouse
Spark",Never,"Communication
Patience
Open mind","Better presentation material
Better demonstrations
Better logs and monitors","Visual Studio 2015
PyCharm
Matlab",Windows,GNU/Linux,"C++
Python
Matlab
JavaScript
C
Java
Scala",Yes,Software,Yes,Yes,Yes,Yes,No
31,Canada,Yes,Doctorate,Artificial intelligence,7,10 (All my time),9,3,8,2,12.0,,2.0,2,Yes,No formal methodology,No,,University,Research Data Scientist,Artificial intelligence,Full-time,,,,,Yes,Yes,Yes,Yes,"IEEE ICCI*CC 2016
SAM, WorldComp 2016",,,Always,"Open source coding
Linux expertise
Handling uncertain research areas","Legal knowledge
Patent filing knowledge
Hadoop","Cygwin
C programming
Matlab",Other,,"C
Matlab
Python",No,,No,,Yes,No,No
32,Canada,Yes,Bachelors Degree,Information technology,7,5,5,6,7,5,11.0,Yes,10.0,10+,No,Kanban,No,,Non-profit,Programmer,Information technology,Full-time,Yes,,,,No,No,,,,Very Often,,Often,,,,Mac OS,Mac OS,,Yes,Software,Yes,No,No,No,No
33,Canada,Yes,Doctorate,Information technology,2,5,2,2,3,5,30.0,No,3.0,Just me,No,No formal methodology,Yes,0.0,University,Professor,Information technology,Full-time,No,No,Yes,No,Yes,Yes,Yes,Yes,,Often,"Github
Project web site",Never,"1. Must  be able to communicate - understand what the problem is that the software is to solve
2. Needs to be proficient in several different programming languages/tools to be able to adopt the appropriate development environment
3. Needs to understand the computational environment - operating system, sequential vs parallel, cpu vs gpu, etc.",1. Additional technical expertise and proficiency,"1. Java
2. Python
3. Eclipse",Windows,Windows,"1. Java
2. Python
3. C",No,,No,,No,Yes,No
34,Canada,Yes,Bachelors Degree,Information technology,5,5,5,7,8,5,10.0,Yes,2.0,6-9,Yes,Scrum,Yes,2.0,Private sector,Project Director,Information technology,Full-time,Yes,,,,No,No,No,No,,Never,,Very Often,Understanding of multiple platforms. Ability to teach others Ablility to clearly explain,"Manage time better, Manage workers better Be a louder speaker","ezscrum, ajax anwhere",Windows,Windows,Java Python Html,Yes,External System,No,,Yes,No,No
35,Canada,No,Bachelors Degree,Other,1 (None at all),3,1 (None at all),1 (None at all),9,4,,No,3.0,3-5,Yes,No formal methodology,Yes,0.0,College,Research Project Manager,Other,Full-time,Yes,,,,Yes,,No,,,,GitHub,,"Flexibility
Communication
Willingness to listen","Programming
GUI
Database development","Outlook
Slack
Word/Excel",Windows,Windows,"ASP.Net
C#
PHP",,,,,Yes,Yes,I'm not familiar with CAF
36,Canada,Yes,Doctorate,Agricultural engineering,7,2,5,5,1 (None at all),1 (None at all),12.0,,2.0,3-5,Yes,Waterfall,No,0.0,College,Research Programmer Associate,Other,Part-time,No,No,Yes,Yes,No,No,No,No,,Never,,Never,"1. computer science subjects
2. subject related (i.e., area being targeted by the project; eg. agriculture, medicine, mechatronics, etc.)
3. programming language(s)","parallel processing
project management
job search","Microsoft Visual Developer Studio
Notepad++
Microsoft command line",Other,Other,"C/C++
PHP
C#
Javascript
Java
Matlab/Octave",No,,No,,Yes,No,I'm not familiar with CAF
37,Canada,Yes,College Diploma,Information technology,10 (All my time),8,8,4,5,2,2.0,Yes,3.0,3-5,Yes,No formal methodology,No,0.0,College,Research Associate,Agricultural engineering,Contract,Yes,,,,Yes,No,No,No,,Sometimes,GitHub,Never,"Problem solving
Ability to translate pseudocode to code
Analyzing new features","Debugging skills
Communication
Documentation","Visual Studio Code / IDE
SQL server management studio
Xen server",Windows,Windows,"C#
HTML
JavaScript
C++
PHP
Java",Yes,Software,No,,,Yes,I'm not familiar with CAF
38,Canada,No,College Diploma,Structural engineering,1 (None at all),1 (None at all),,1 (None at all),,,,,,Just me,,No formal methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Canada,Yes,Bachelors Degree,Applied mathematics,2,4,3,4,1 (None at all),3,15.0,No,2.0,Just me,No,No formal methodology,No,0.0,University,DBA,Other,Full-time,Yes,,,,No,No,No,No,,Sometimes,,Never,,,,GNU/Linux,GNU/Linux,"C
Bash
Php
Asp.net
Python",No,,No,,Yes,No,No
40,Canada,Yes,Bachelors Degree,Information technology,7,6,5,4,3,2,6.0,Yes,5.0,6-9,Yes,Waterfall,Yes,3.0,Private sector,manager,Information technology,Full-time,Yes,,,,No,No,No,No,,Sometimes,,Sometimes,,,,Windows,Windows,,Yes,Software,No,,Yes,Yes,No
41,Canada,Yes,Doctorate,Other,4,10 (All my time),5,1 (None at all),5,,20.0,Yes,5.0,2,No,No formal methodology,Yes,0.0,University,Associate Professor,Information technology,Full-time,No,No,No,,Yes,Yes,Yes,Yes,"ICDCS, IPCCC, MASCOTS, IWQoS, LCN, ACM Multimedia",,,,One most important skill is research skill.  The developer must understand the nature of research and how it is different from industry project.,,"cloud, SDN, spark, video codec standards",Mac OS,GNU/Linux,"Java, C/C++, Python, JavaScript, Perl",No,,No,,Yes,No,I'm not familiar with CAF
42,Canada,Yes,Doctorate,Theoretical physics and chemistry,3,9,4,4,6,8,30.0,No,5.0,6-9,No,No formal methodology,No,0.0,University,professor,Theoretical physics and chemistry,Full-time,Yes,,,,Yes,Yes,Yes,Yes,,Very Often,,Never,"intelligence
patience",python,fortran,GNU/Linux,GNU/Linux,fortran,No,,No,,Yes,Yes,No
43,Canada,Yes,College Diploma,Information technology,10 (All my time),4,10 (All my time),5,1 (None at all),1 (None at all),3.0,Yes,4.0,Just me,Yes,No formal methodology,No,0.0,College,Research Associate,Information technology,Full-time,,,,,Yes,No,No,No,Farms.com Conference,Always,,Never,,,,Windows,Windows,,Yes,Software,Yes,,No,Yes,I'm not familiar with CAF
44,Canada,Yes,Doctorate,Evolution and ecology,3,3,5,3,3,2,3.0,No,2.0,3-5,Yes,Waterfall,No,0.0,Private sector,CEO,Other,Full-time,Yes,,,,Yes,Yes,No,Yes,"North American Symposium on Bat Research, Ecological Society of America, Association des Biologistes du Québec (workshop)",Always,GitHub and Bitbucket,Often,"Organized, perfectionist, perseverance, hardworking. Knowing at least two programming languages ​​and having an excellent knowledge of tools and third-party software that enhance programming, code revision and teamwork","Start working with Python, develop my expertise in deep learning and signal processing","R Devtools and Rmarkdown packages
Github",GNU/Linux,Windows,"R language mainly, C++",No,,Yes,No,Yes,Yes,No
45,Canada,Yes,Doctorate,Fluid mechanics,5,5,5,5,5,5,4.0,Yes,2.0,6-9,Yes,,No,1.0,University,Graduate student,Fluid mechanics,Full-time,Yes,,,,Yes,Yes,Yes,Yes,CarPEFC,Always,OpenFCST,Often,"Programming skill, understanding the algorithms and efficiency of the code.","Programming skill, understanding the algorithms and efficiency of the code.","C++, Matlab and Python.",GNU/Linux,GNU/Linux,"C++, Matlab and Python.",Yes,Software,No,,Yes,Yes,No
46,Canada,Yes,Masters Degree,Applied mathematics,7,10 (All my time),8,2,2,3,4.0,Yes,1.0,3-5,Yes,Other,No,0.0,University,Research Assistant / Graduate Student (Ph.D.),Fuel and energy technology,Grad student,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"1. A. Kosakian, M. Secanell, D. Novitski, and S. Holdcroft, “Numerical estimation of oxygen transport properties in thin polymer membranes.” Proceedings of the Canadian Society for Mechanical Engineering International Congress, Kelowna, BC, Canada, June 26-29, 2016
2. A. Kosakian, M. Secanell, D. Novitski, and S. Holdcroft, “A numerical algorithm for estimation of oxygen transport properties in thin polymer membranes.”  5th Annual CaRPE-FC Technical Review Meeting, Vancouver, BC, Canada, May 2-3, 2016 (talk and poster)",Always,"https://github.com/OpenFCST/OpenFCSTv03

Other (closed): Bitbucket - contains most of my work (development version of OpenFCST, to be released in late 2017)",,"1. Flexibility: ability to learn and work with different software and programming languages
2. Knowledge of principles of (scientific) programming and algorithmic thinking
3. Ability to test and document their own code","1. More languages/standards: C++11, Python
2. Better C++ skills
3. Better algorithmic thinking, faster coding with same (high) quality","1. git, Bitbucket
2. JIRA
3. Linux",GNU/Linux,GNU/Linux,"C++, MATLAB, Python",Yes,External System,,,Yes,Yes,I'm not familiar with CAF
47,Canada,Yes,Doctorate,Other studies in natural sciences and engineering,6,7,8,2,2,3,10.0,No,7.0,2,No,No formal methodology,Yes,0.0,Private sector,,Other studies in natural sciences and engineering,Full-time,Yes,,,,Yes,No,No,No,,Always,,Very Often,,,,Windows,Windows,"R, C++, C",Yes,External System,No,,Yes,Yes,I'm not familiar with CAF
48,Canada,Yes,Some University,Other,10 (All my time),1 (None at all),7,3,1 (None at all),1 (None at all),0.0,No,2.0,3-5,Yes,No formal methodology,No,0.0,University,,Mechanical engineering,Co-op/intern,No,No,No,,Yes,,No,,,Always,,Never,"Time-Management
How to research
Organization","Time-Management
How to research
Organization","Atom
BitBucket
Linux",GNU/Linux,GNU/Linux,"Python
C++",No,,No,,Yes,Yes,I'm not familiar with CAF
49,Canada,Yes,Doctorate,Chemical engineering,7,5,4,5,2,4,16.0,Yes,3.0,2,No,No formal methodology,No,0.0,University,Assistant Professor,Chemical engineering,Full-time,No,No,Yes,Yes,Yes,Yes,No,Yes,,Sometimes,GitHub,Never,"1) Logical thinking
2) Good understanding of the topic at hand
3) Good programming skills","1) Philosophy of software development
2) Version control","NetBeans
MatLab",Windows,Windows,"JAVA
MatLab
VBA
TI-83+ (and newer equivalents) Basic",No,,No,,Yes,No,No
