section,code,question,answer_format,answer_file,conditional,source,comment,lang_trans1,lang_trans2,lang_trans3
4,fund1,"Do you know the source of the funding used to support you and your current, largest project? ",Y/N/NA,,,,,"Kennst Du den Fördungseinrichtung oder das Förderprogramm, die Dich und Dein aktuell größtes Projekt finanzieren?",,
4,fund2,Which of the following sources are used to pay for your effort as an RSE/equivalent? ,MULTIPLE CHOICES,funding,,,done,Welche der folgenden Quellen finanzieren Deine Arbeit als Software entwickelnden Mitarbeiter?,,
4,fund3,"Which of the following sources are used to fund your current, largest project? ",MULTIPLE CHOICES,funding,,,done,Aus welchen der folgenden Quellen wird Dein aktuell größtes Projekt finanziert?,,
4,fund4,"Which of the following sources were used to fund your current, largest project three years ago? ",MULTIPLE CHOICES,funding,,,done,Aus welchen der folgenden Quellen wurde Dein aktuell größtes Projekt vor drei Jahren finanziert?,,
5,perfCheck1,Do you receive sufficient information on the results of your work?,LIKERT,likert_time_10,,,done,Erhälst Du genügend Information über die Ergebnisse Deiner Arbeit?,,
5,perfCheck2,Does your work give you the opportunity to check on how well you are doing your work?,LIKERT,likert_time_10,,,done,"Hast Du die Möglichkeit auf Arbeit zu erfahren, wie gut Du arbeitest?",,
5,perfCheck3,"In your work, do you have access to sufficient data and information?",LIKERT,likert_time_10,,,done,Hast Du für Deine Arbeit ausreichend Zugriff auf Daten und Informationen?,,
5,perfCheck4,Do you receive sufficient information on the purpose of your work?,LIKERT,likert_time_10,,,done,Erhälst Du ausreichend Informationen über den Zweck Deiner Arbeit?,,
5,perfCheck5,Does your work provide you with direct feedback on how well you are doing your work?,LIKERT,likert_time_10,,,done,"Bekommst Du direktes Feedback, wie gut Du Deine Arbeit machst? ",,
5,perfCheck6,Does your supervisor/line manager inform you about how well you are doing your work?,LIKERT,likert_time_10,,,done,"Informiert Dich Dein Vorgesetzter darüber, wie gut Du Deine Arbeit machst?",,
5,perfCheck7,Do your colleagues inform you about how well you are doing your work?,LIKERT,likert_time_10,,,done,"Informieren Dich Deine Kollegen darüber, wie gut Du Deine Arbeit machst?",,
5,turnOver1,How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?,LIKERT,likert_time_10,,,done,"Wie oft bist Du frustriert, wenn Dir nicht die Möglichkeit gegeben wird, Deine persönlichen arbeitsbezogenen Ziele zu erreichen?",,
5,turnOver2,How often do you look forward to another day at work?,LIKERT,likert_time_10,,,done,Wie oft freust du dich auf den nächsten Tag auf der Arbeit?,,
5,turnOver3,How often do you consider leaving your job?,LIKERT,likert_time_10,,,done,"Wie oft denkst Du daran, Deinen Job an den Nagel zu hängen?",,
5,turnOver4,How often do dream about getting another job that will better suit your needs?,LIKERT,likert_time_10,,,done,"Wie oft träumst Du davon, einen anderen Job anzutreten, der Deinen Ansprüchen mehr gerecht wird?",,
5,turnOver5,My current job satisfies my personal needs,LIKERT,likert_agree,,,done,Mein aktueller Job befriedigt meine persönlichen Ansprüche. ,,
5,turnOver6,I would accept another job at the same compensation level if I was offered it,LIKERT,likert_agree,,,done,"Ich würde einen anderen Job mit der selben Bezahlung annehmen, wenn ich ein solches Angebot bekommen würde.",,
5,affRec1,I am satisfied with my supervisor/line manager's confidence in me,LIKERT,likert_agree,,,done,"Ich bin zufrieden mit dem Vertrauen, das mein Vorgesetzter in mich setzt.",,
5,affRec2,I am satisfied with a word of thanks from my supervisor/line manager,LIKERT,likert_agree,,,done,"Ich bin zufrieden mit dem Dank, den meine Vorgesetzter an mich richtet.",,
5,affRec3,I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,LIKERT,likert_agree,,,done,"Ich bin zufrieden mit der Anerkennung, die ich von meinem Vorgesetzten für meine Arbeit bekomme.",,
5,affRec4,I am satisfied with the compliments from my supervisor/line manager concerning my work,LIKERT,likert_agree,,,done,"Ich bin zufrieden mit dem Lob, die ich von meinem Vorgesetzten für meine Arbeit bekomme.",,
5,affRec5,I am satisfied with the encouragement from my supervisor/line manager while doing my job,LIKERT,likert_agree,,,done,"Ich bin zufrieden mit der Ermunterung/Unterstützung, die ich von meinem Vorgesetzten während der Arbeit bekomme.",,
5,percEmp1,It would not be very difficult for me to get an equivalent job in a different organisation,LIKERT,likert_agree,,,done,"Es wäre nicht schwer für mich, einen ähnlichen Job woanders zu bekommen.",,
5,percEmp2,I can think of a number of organisations that would probably offer me a job,LIKERT,likert_agree,,,done,"Ich kenne mehrere Organisationen, die mir einen Job anbieten würden.",,
5,percEmp3,My experience is in demand on the labour market,LIKERT,likert_agree,,,done,Meine Erfahrung ist auf dem Arbeitsmarkt gefragt.,,
5,percEmp4,"Given my qualifications and experience, getting a new job would not be very hard at all",LIKERT,likert_agree,,,done,"Es ist nicht schwer, einen neuen Job mit meinen Qualifikationen und Erfahrungen zu bekommen.",,
5,affSat1,I find real enjoyment in my job,LIKERT,likert_agree,,,done,Ich genieße meine Arbeit.,,
5,affSat2,Most days I am enthusiastic about my job,LIKERT,likert_agree,,,done,An den meisten Tagen gehe ich entusiastisch an die Arbeit.,,
5,affSat3,I feel fairly well satisfied with my job,LIKERT,likert_agree,,,done,Ich fühle mich zufrieden mit meiner Arbeit.,,
5,affSat4,I like my job better than the average person,LIKERT,likert_agree,,,done,Ich mag meine Arbeit mehr als andere.,,
5,satisgen1-1,"In general, how satisfied are you with Your current position",LIKERT,likert_satisfied_10,,,done,Wie bist Du mit Deiner Position insgesamt zufrieden?,,
5,satisgen1-2,"In general, how satisfied are you with Your career",LIKERT,likert_satisfied_10,,,done,Wie bist Du insgesamt mit Deiner Karriere zufrieden?,,
6,socio2,Please select your gender,ONE CHOICE,gender,,https://www.gov.uk/service-manual/user-centred-design/resources/patterns/gender-and-sex.html,done,Dein Geschlecht,,
6,socio3,Please select your age,ONE CHOICE,age,,,done,Dein Alter,,
6,socio4,Please select the range of your salary,ONE CHOICE,salary,,,done,Bitte wähle Dein Gehaltsband aus!,,
6,socio10de,Please select your renumeration group according to your collective bargaining agreement,ONE CHOICE,entgeltgruppe_de,,,done,Bitte wähle Deine Entgeltgruppe aus!,,
7,tool2,What Operating System do you prefer to use at work? ,ONE CHOICE,os,,,done,Welches Betriebssystem bevorzugst Du auf Arbeit?,,
7,tool4can,What programming languages do you use at work? (Select as many as apply) ,MULTIPLE CHOICES,programing_language,,,done,Welche Programmiersprachen nutzt Du auf Arbeit? (wähle alle zutreffenden),,
7,ukrse10de,"Are you a member of the de-RSE initiative? (Members are people who have signed up to the de-RSE mailing list, http://www.de-rse.org/en/join.html)",Y/N/NA,,,,,"Bist Du Teil der de-RSE Initiative? (Du bist automatisch dabei, wenn Du die de-RSE Mailingliste abonniert hast, http://www.de-rse.org/de/join.html)",,
7,ukrse11de,Do you know a better job title/role than RSE which summerizes all kinds of activities realated to academic software creation? ,FREETEXT,,,Stephan Janosch,,"Kennst Du eine bessere Berufsbezeichnung/Rolle als RSE (research software engineer), die alle Aktvitiäten der akademischen Softwareentwicklung umfasst?",,
7,ukrse2,How do you meet other RSEs? ,MULTIPLE CHOICES,ukrse_de,,,done,"Wie triffst Du andere, die Software im wissenschaftlichen Umfeld entwickeln, programmieren, skripten etc.)?",,
7,ukrse12de,Would you like to visit a conference about software development in academia in Germany?,Y/N/NA,,,Stephan Janosch,,Würdest Du gern eine Konferenz über Softwareentwicklung in der Wissenschaft in Deutschland besuchen?,,
7,ukrse13de,Do you allow us to contact you for a conference announcement via email address you added into this form: https://survey.mpi-cbg.de/limesurvey/index.php/134431?newtest=Y&lang=en,Y/N/NA,,'YES’ to ukrse12de,Simon/Martin/Stephan,,Erlaubst Du uns Dich via Email für eine Konferenzankündigung zu benachrichtigen? Emailaddesse bitte hinterlegen: https://survey.mpi-cbg.de/limesurvey/index.php/134431?newtest=Y&lang=de-informal,,
7,skill2,What three skills would you like to acquire or improve to help your work as a Research Software Engineer? The skills can be technical and non-technical.,FREETEXT,,,,,"Welche drei Fähigkeiten, die Dir bei der Arbeit in Bezug auf Sofwareentwicklung hilfreich sind, würdest Du gern erwerben oder vertiefen? Dies können technische oder nicht-technische Fähigkeiten sein.",,
7,ukrse3,How did you learn the skills you need to become an RSE? ,FREETEXT,,,,,"Wie hast Du Dir die Fähigkeiten angeeignet bzw. wie bist Du zu den Fähigkeiten gekommen, um Software im wissenschaftlichen Umfeld zu entwickeln?",,
