,socio1. In which country do you work?,edu1. What is the highest qualification you have obtained?,edu2. What was your academic subject?,edu3. Enter your academic subject,rse16a. Are you employed primarily to develop software for research?,rse16b. Do you spend more time developing software than conducting research?,rse16c. Are you employed as a postdoctoral researcher?,"rse16d. Are you the person who ""does computers"" in your research group?",currentEmp1. Do you work for a university?,currentEmp16a. In what year did you start your current position?,currentEmp10. What type of contract are you employed on?,currentEmp11. What is the duration of your current contract?,currentEmp12. Do you work full time or part time?,currentEmp16b. Is this your first job?,prevEmp16a. Have you previously worked in the private sector?,prevEmp16b. Why did you leave the private sector?,prevEmp16d. What was the type of your contract?,currentEmp5. What is this job title?,currentWork2. Do you work within a group that provides software development help or expertise to researchers from other groups within your organisation?,currentWork16a. What percentage of your time do you spend developing software each week?,paper1. Has your software ever contributed to research that has been published in a journal or at a conference?,paper2. Were you acknowledged in the paper?,paper4. Were you named as a co-author of the paper?,paper5. Were you named as the lead author of the paper?,stability1. What is the bus factor of your most important software project?,stability2. Is there a technical hand-over plan for your most important software project?,perfCheck1. Do you receive sufficient information on the results of your work?,perfCheck2. Does your work give you the opportunity to check on how well you are doing your work?,perfCheck4. Do you receive sufficient information on the purpose of your work?,perfCheck5. Does your work provide you with direct feedback on how well you are doing your work?,perfCheck6. Does your supervisor/line manager inform you about how well you are doing your work?,perfCheck7. Do your colleagues inform you about how well you are doing your work?,turnOver1. How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?,turnOver2. How often do you look forward to another day at work?,turnOver3. How often do you consider leaving your job?,turnOver4. How often do dream about getting another job that will better suit your needs?,turnOver5. My current job satisfies my personal needs,turnOver6. I would accept another job at the same compensation level if I was offered it,affRec1. I am satisfied with my supervisor/line manager's confidence in me,affRec2. I am satisfied with a word of thanks from my supervisor/line manager,affRec3. I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,affRec4. I am satisfied with the compliments from my supervisor/line manager concerning my work,affRec5. I am satisfied with the encouragement from my supervisor/line manager while doing my job,percEmp1. It would not be very difficult for me to get an equivalent job in a different organisation,percEmp2. I can think of a number of organisations that would probably offer me a job,percEmp3. My experience is in demand on the labour market,affSat1. I find real enjoyment in my job,affSat2. Most days I am enthusiastic about my job,affSat3. I feel fairly well satisfied with my job,affSat4. I like my job better than the average person,progRSE1. It is likely that I will gain a promotion within my current group,progRSE2. The process I have to complete to gain a promotion is clear and understandable,progRSE3. There are many opportunities within my chosen career plan,progRSE4. My current position is an integral part of my career plan,progRSE5. It is likely that my next position will be an RSE role,"skill2. In your opinion, what are the three most important skills that a Research Software Engineer must possess?","skill2-1. In your opinion, what are the three most important skills that a Research Software Engineer must possess?","skill2-2. In your opinion, what are the three most important skills that a Research Software Engineer must possess?",ukrse1. Are you a member of the UK RSE Association? (Members are people who have signed up to the UK RSE mailing list),tool1. What are the three tools or services you use most often to achieve your work?,tool16a. What are the three tools or services you use most often to achieve your work?,tool16b. What are the three tools or services you use most often to achieve your work?,socio2. Please select your gender,socio3. Please select your age,socio4. Please select the range of your salary,tool2. What is your Operating System of choice for use at work?
65,United Kingdom,Doctorate,Physical Sciences,,No,Yes,No,Yes,Yes,2014.0,Fixed term,,Full time,No,Yes,Others,Fixed-term,COSMOS and IPCC Manager,Yes,30%,Yes,Yes,Yes,Yes,2.0,Yes,Often,Sometimes,Often,Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Often,Disagree,Disagree,Strongly Agree,Strongly disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Strongly disagree,Strongly Agree,Agree,Domain Expertise,Software Development Skills,Problem Solving,Yes,High Performance Computer,"Software Build Chain (editor, compiler etc)",Software Performance Analysis Tools,Male,35 to 44 years,£45 000 to £50 000,GNU/Linux
66,United Kingdom,Doctorate,Mathematical and Computer Sciences,,No,No,No,Yes,Yes,2010.0,Permanent,,Full time,No,No,,Fixed-term,,No,5,Yes,Yes,Yes,Yes,2.0,No,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Never ,Sometimes,Neither agree or disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,insight,patience,systematic,No,gcc,text editor,,Male,35 to 44 years,£40 000 to £44 999,GNU/Linux
67,United Kingdom,Doctorate,Mathematical and Computer Sciences,,Yes,Yes,No,,Yes,1994.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,50,Yes,Yes,Yes,Yes,5.0,Yes,Very Often,Very Often,Always,Very Often,Never ,Sometimes,Sometimes,Often,Sometimes,Sometimes,Strongly Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Neither agree or disagree,Agree,Software Carpentry,Soft skills,Time management,Yes,Fortran compilers,profilers/debuggers,wikis,Male,45 to 54 years,£35 000 to £39 999,GNU/Linux
68,United Kingdom,Doctorate,Physical Sciences,,No,Yes,Yes,Yes,Yes,2014.0,Fixed term,36.0,Full time,No,No,,Fixed-term,,No,80,Yes,Yes,Yes,Yes,1.0,Yes,Often,Often,Often,Often,Very Often,Often,Often,Sometimes,Sometimes,Very Often,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Agree,Neither agree or disagree,Versatile,able to within stress,networking,Yes,python,fortran + openmp,cuda c++,Male,25 to 34 years,£30 000 to £34 999,GNU/Linux
69,United Kingdom,Undergraduate degree,Computer Sciences,,Yes,,No,,Yes,2014.0,Fixed term,36.0,Full time,No,Yes,Loss of faith and confidence in corporate leaders,Permanent,,Yes,40%,No,,,,2.0,Yes,Sometimes,Sometimes,Very Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Agree,Neither agree or disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Communication/managing expectations,Good understanding of software development life cycle,V good understanding of chosen programming language ,No,Sublime text editor,Laravel,Github,Male,25 to 34 years,£35 000 to £39 999,OS X
70,United Kingdom,Doctorate,Biological Sciences,,Yes,Yes,No,Yes,Yes,2014.0,Permanent,,Full time,Yes,,,,,Yes,60%,Yes,No,No,No,1.0,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Very Often,Often,Sometimes,Very Often,Agree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly disagree,Strongly disagree,Agree,Neither agree or disagree,Agree,Multidisciplinarity,Flexibility,Ability to translate/interpret and deliver,Yes,Intellij IDE!!!!!,Stack Overflow or Equivalent,Manuals / Documentation,Male,25 to 34 years,£30 000 to £34 999,GNU/Linux
71,United Kingdom,Undergraduate degree,Mathematical and Computer Sciences,,Yes,Yes,No,Yes,No,1999.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,20,Yes,Yes,Yes,Yes,2.0,Yes,Very Often,Very Often,Always,Always,Always,Always,Often,Sometimes,Sometimes,Sometimes,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Neither agree or disagree,Agree,Understanding the needs of the community and the current direction of research,Being able to communicate in a language suitable for the audience,Technical and research skills,No,SQL server,Visual Studio,Confluence,Male,35 to 44 years,£30 000 to £34 999,Windows
72,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,Yes,Yes,Yes,2001.0,Fixed term,54.0,Full time,Yes,,,,,No,60,Yes,Yes,Yes,No,1.0,No,Very Often,Never ,Always,Never ,Never ,Never ,Very Often,Never ,Never,Sometimes,Strongly disagree,Neither agree or disagree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly disagree,Strongly disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree or disagree,,,,Yes,protein data bank,,,Male,35 to 44 years,£40 000 to £44 999,GNU/Linux
73,United Kingdom,Doctorate,Engineering,,Yes,Yes,Yes,Yes,Yes,2009.0,Permanent,,Full time,No,Yes,Others,Permanent,,No,60%,Yes,Yes,Yes,No,1.0,No,Very Often,Never ,Often,Never ,Never ,Never ,Often,Often,Never ,Sometimes,Strongly Agree,Disagree,Strongly Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Good grasp of the softare engineering process,Ability to tackle jobs unaided and self-learn new skills accordingly,Ability to grasp the research problem being addressed,Yes,Visual studio,Sourceforge,Google search!,Female,45 to 54 years,£35 000 to £39 999,Windows
74,United Kingdom,Doctorate,Computer Sciences,,No,,No,Yes,Yes,2015.0,Fixed term,24.0,Part time,No,No,,Fixed-term,,Yes,30%,Yes,Yes,Yes,Yes,1.0,No,Often,Very Often,Sometimes,Very Often,Sometimes,Sometimes,Always,Often,Often,Sometimes,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,ability to write code,ability to solve a problems,to work in a team and not have to be the center of attention,Yes,mobaxterm,anaconda,text editors,Female,45 to 54 years,£30 000 to £34 999,GNU/Linux
75,United Kingdom,Doctorate,Combined studies,,Yes,Yes,Yes,Yes,Yes,2014.0,Fixed term,24.0,Full time,Yes,,,,,No,40%,Yes,Yes,Yes,No,3.0,Yes,Sometimes,Very Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree or disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Strongly Agree,,multi-disciplinary interest,cautious / detail oriented,Yes,mercurial,octave,imagej,Male,25 to 34 years,£30 000 to £34 999,GNU/Linux
76,United Kingdom,Doctorate,Computer Sciences,,Yes,Yes,Yes,No,Yes,2015.0,Fixed term,12.0,Full time,No,No,,Permanent,,No,70,Yes,Yes,Yes,Yes,2.0,No,Very Often,Very Often,Very Often,Very Often,Always,Very Often,Sometimes,Sometimes,Never ,Never ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Neither agree or disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Neither agree or disagree,Technical skills,Interdisciplinary skills,Dealing with requirements,Yes,Git / GitHub,Travis CI,Python,,35 to 44 years,£35 000 to £39 999,GNU/Linux
77,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,Yes,Yes,2005.0,Fixed term,12.0,Full time,No,Yes,Others,Permanent,,Yes,100,Yes,Yes,Yes,No,1.0,No,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly disagree,Strongly disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Strongly disagree,Disagree,Neither agree or disagree,Agree,Collaborative Software Development,Programming / Computer,Science Domain Knowledge,,Python,Jenkins,SVN,Male,35 to 44 years,£45 000 to £50 000,OS X
78,United Kingdom,Masters degree,Physical Sciences,,Yes,Yes,No,,Yes,2014.0,Fixed term,36.0,Full time,No,No,,Fixed-term,,Yes,80,Yes,Yes,Yes,No,1.0,No,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree or disagree,,,,Yes,Python,Linux,Bitbucket,Male,35 to 44 years,£25 000 to £29 999,GNU/Linux
79,United Kingdom,Doctorate,Mathematical and Computer Sciences,,Yes,Yes,Yes,No,Yes,2009.0,Permanent,,Full time,No,No,,Fixed-term,,No,80%,Yes,No,Yes,No,5.0,No,Always,Always,Always,Very Often,Very Often,Very Often,Sometimes,Sometimes,Never ,Sometimes,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Understanding of the subject,Enthusiasm and curiosity,Communication skills,Yes,GitHub,Jenkins,Jupyter,Male,45 to 54 years,£40 000 to £44 999,OS X
80,United Kingdom,Doctorate,Computer Sciences,,Yes,Yes,No,Yes,No,2014.0,Permanent,,Full time,No,Yes,Others,Permanent,,Yes,100,Yes,Yes,Yes,No,2.0,Yes,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Never ,Never ,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,Technical Insight,Communication/Interfacing,Version Control,No,email,wikis,trac,Male,35 to 44 years,£35 000 to £39 999,GNU/Linux
81,United Kingdom,Masters degree,Physical Sciences,,Yes,Yes,Yes,Yes,No,2000.0,Permanent,,Full time,No,No,,Fixed-term,Science team member,Yes,50,Yes,Yes,Yes,No,1.0,Yes,Often,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Very Often,Disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Strongly disagree,Disagree,Disagree,Neither agree or disagree,Agree,disciplin,endurance,perceverence,No,ingenuity,linux,personal connections,Male,45 to 54 years,£35 000 to £39 999,GNU/Linux
82,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,Yes,No,2014.0,Permanent,,Full time,No,No,,Permanent,,Yes,60,Yes,No,No,No,3.0,Yes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,Productivity to a high standard,Adaptability,Communication,No,"Linux OS, most importantly",Python,Bash,Male,25 to 34 years,£30 000 to £34 999,GNU/Linux
83,United Kingdom,Doctorate,Mathematical and Computer Sciences,,No,Yes,No,No,No,2006.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,100,Yes,No,No,No,5.0,No,Very Often,Very Often,Always,Always,Always,Very Often,Never ,Sometimes,Sometimes,Never ,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Perseverence,imaginative thinking,communication,No,version control,test suites,,Male,45 to 54 years,£35 000 to £39 999,GNU/Linux
84,United Kingdom,Masters degree,Engineering,,Yes,Yes,No,,No,2014.0,Permanent,,Full time,No,Yes,Others,Permanent,,Yes,100,No,,,,5.0,Yes,Often,Very Often,Often,Very Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Disagree,Strongly disagree,Strongly Agree,Neither agree or disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Communication,Technical (coding),Project Management,Yes,IDE,Version control,Ticketing system,Male,25 to 34 years,£25 000 to £29 999,GNU/Linux
85,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,Yes,No,2014.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,50,Yes,No,No,No,5.0,Yes,Very Often,Very Often,Very Often,Very Often,Sometimes,Very Often,Very Often,Often,Sometimes,Very Often,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Agree,Agree,Agree,Programming,Communication,Documentation,No,Linux,Web browser,python,Female,35 to 44 years,£25 000 to £29 999,GNU/Linux
86,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,Yes,Yes,Yes,2007.0,Fixed term,12.0,Full time,No,No,,Fixed-term,,Yes,70% and higher,Yes,Yes,Yes,No,5.0,Yes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Never,Sometimes,Often,Agree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Strongly Agree,Neither agree or disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly Agree,Strongly Agree,Patience,Analytical Mind,Listening Skills,No,emacs,subversion,python,Male,25 to 34 years,£40 000 to £44 999,GNU/Linux
87,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,,No,2009.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,95,Yes,No,No,No,5.0,Yes,Sometimes,Often,Always,Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Very Often,Neither agree or disagree,Disagree,Strongly Agree,Neither agree or disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly disagree,Neither agree or disagree,Agree,Programming,Communicating with scientists,Patience,No,Fortran,Subversion,Trac,Male,35 to 44 years,£30 000 to £34 999,GNU/Linux
88,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,,No,2015.0,Permanent,,Full time,Yes,,,,,Yes,75,No,,,,5.0,Yes,Very Often,Always,Very Often,Often,Often,Very Often,Sometimes,Sometimes,Sometimes,Very Often,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Software quality assurance,Optimisation,Parallel Programming,No,"Various compilers: gfortran, ifort, cce",emacs,trac wiki,Male,25 to 34 years,£25 000 to £29 999,GNU/Linux
89,United Kingdom,Masters degree,Mathematical and Computer Sciences,,No,No,No,Yes,Yes,2005.0,Permanent,,Full time,No,Yes,,Freelancer  consultant  contractors,Lecturer,Yes,20%,Yes,Yes,No,Yes,5.0,No,Often,Very Often,Very Often,Very Often,Very Often,Often,Sometimes,Often,Never ,Never ,Strongly Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly disagree,Data Analysis,Programming,Communication,No,Linux,R,Python,Male,35 to 44 years,Less than £25 000,GNU/Linux
90,United Kingdom,Doctorate,Biological Sciences,,No,Yes,No,No,Yes,2014.0,Permanent,,Full time,No,Yes,Others,Permanent,,No,25,Yes,Yes,Yes,Yes,2.0,No,Always,Always,Always,Always,Never ,Sometimes,Often,Often,Sometimes,Sometimes,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Agree,Neither agree or disagree,Strongly Agree,Strongly disagree,Coding,Communication,Subject understanding,No,git,,,Male,45 to 54 years,£50 000 to £59 999,GNU/Linux
91,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,Yes,Yes,1995.0,Permanent,,Full time,Yes,,,,,Yes,50,Yes,Yes,Yes,Yes,5.0,Yes,Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Good knowledge of one or more programming language,Good knowledge of tools to ease the development of software,Ability to write documentation/progress reports,No,compilers,debuggers,revision control,Male,45 to 54 years,£45 000 to £50 000,OS X
92,United Kingdom,Doctorate,Engineering,,No,No,No,No,Yes,2009.0,Permanent,,Full time,No,Yes,Others,Permanent,,No,5,Yes,Yes,Yes,Yes,1.0,No,Sometimes,Sometimes,Often,Often,Sometimes,Often,Always,Sometimes,Often,Always,Strongly disagree,Neither agree or disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Excellent coding skills,Good knowledge numerical methods ,knowledge computer architecture,No,,,,Male,45 to 54 years,£50 000 to £59 999,Windows
93,United Kingdom,Doctorate,Engineering,,No,Yes,Yes,Yes,Yes,2015.0,Fixed term,6.0,Full time,No,Yes,Others,Freelancer  consultant  contractors,,No,50,Yes,Yes,Yes,Yes,1.0,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Disagree,Strongly Agree,Disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Attention to detail,Pragmatism,Considers medium-term impacts,Yes,Python,Jupyter Notebooks,Git,Male,25 to 34 years,£25 000 to £29 999,GNU/Linux
94,United Kingdom,Masters degree,Computer Sciences,,Yes,Yes,No,,Yes,2013.0,Permanent,,Full time,No,Yes,Excessive overtime hours,Freelancer  consultant  contractors,,Yes,90%,Yes,Yes,Yes,No,1.0,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Strongly disagree,Strongly Agree,Agree,Strongly disagree,Software engineering,Data analysis,Experience with research staff,No,Python,JavaScript,Web servers,Male,25 to 34 years,£30 000 to £34 999,OS X
95,United Kingdom,Doctorate,Computer Sciences,,No,Yes,Yes,Yes,Yes,2013.0,Fixed term,56.0,Full time,No,Yes,Others,Permanent,,Yes,50%,Yes,Yes,Yes,Yes,1.0,No,Always,Very Often,Always,Very Often,Often,Very Often,Very Often,Often,Sometimes,Very Often,Disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Neither agree or disagree,Agree,Agree,Analytical ability to take apart a problem,Ability to program,Domain knowledge,No,Python,Linux,Range of bioinformatics tools,Male,25 to 34 years,£35 000 to £39 999,GNU/Linux
96,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,Yes,No,2002.0,Permanent,,Part time,No,Yes,Others,Permanent,System Manager,Yes,70%,Yes,Yes,No,No,2.0,Yes,Often,Often,Often,Often,Often,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Problem solving,Attention to detail,Ability to learn new skills,No,svn (revision control),trac (change management),internet (research how to implement solutions),Male,35 to 44 years,£30 000 to £34 999,GNU/Linux
97,United Kingdom,Doctorate,Other,Bioinformatics,No,Yes,Yes,Yes,No,2008.0,Permanent,,Full time,No,Yes,Others,Permanent,Undefined,No,50,Yes,Yes,Yes,Yes,4.0,No,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Disagree,Agree,Strongly Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Neither agree or disagree,Agree,Agree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Debugging,Testing,Relevant science,Yes,Python,Git and GitHub,Continuous Integration testing e.g. TravisCI,Male,35 to 44 years,£30 000 to £34 999,OS X
98,United Kingdom,Doctorate,Computer Sciences,,Yes,Yes,Yes,No,Yes,2006.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,100,Yes,Yes,Yes,No,2.0,No,Very Often,Very Often,Always,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Sometimes,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Disagree,Neither agree or disagree,Agree,"Ability to write ""pretty good software"" (generally well formatted, with some comments and good variable / function naming) quickly in a high-pressure environment",Ability to quickly understand research being worked on at a basic level,Ability to write documentation on-the-go,Yes,"GitHub (git generally, but GitHub is very useful)","Eclipse (any IDE, but Eclipse is generally good)",ssh,Male,35 to 44 years,£45 000 to £50 000,Windows
99,United Kingdom,Doctorate,Physical Sciences,,No,Yes,No,No,No,2013.0,Permanent,,Full time,Yes,,,,Shelf seas ecosystem modeller,Yes,100,Yes,No,No,No,1.0,No,Never ,Never ,Never ,Never ,Never ,Never ,Always,Never ,Never,Always,Strongly disagree,Strongly Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Patience,Resilience,Sense of Humour,No,stack overflow,google,in house assisstance,Male,25 to 34 years,£25 000 to £29 999,GNU/Linux
